datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-04-12,0.8,Couple Leisure,5.0,4.0,3.0,5.0,2.0,1.0,,4.0,Top notch tiny regional airport,False,"   Super easy to navigate this tiny welcoming airport, parking garage fees are reasonable, car rental is close by, drop off and pickup is efficient, airport management does actually care, facilities are clean, food is sparse but there and it is secure. Top notch tiny regional airport!",1
2012-05-16,0.9,,5.0,5.0,,,,4.0,,,one of the most efficient,False,,1
2011-03-21,0.5,,5.0,5.0,,,,5.0,,,big windows everywhere,False,,-1
2009-08-09,0.5,,,,,,,,,,a relatively small airport,False,,-1
