datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2018-05-20,1.0,Family Leisure,5.0,5.0,5.0,5.0,0.0,,,5.0,Courteous and friendly staff,False,"  Courteous and friendly staff. Flight left early by about 10-15 minutes, when it was confirmed all planning to fly were on board. Crew was great. Seating was great.",1
2012-08-12,1.0,,5.0,5.0,,,,5.0,,,Long Island Macarthur Airport customer review,False,,1
2008-06-06,0.5,,,,,,,,,,Long Island Macarthur Airport customer review,False,,-1
