datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-04-18,0.1,Couple Leisure,2.0,3.0,,2.0,0.0,,3.0,1.0,"staff was very rude"" ",True,  The staff was very rude. It was like they were inconvenienced. Was very dissatisfied with the whole experience. Everything from check in and through security. You would think they would be people friendly.,-1
2023-05-15,0.1,Couple Leisure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TSA is unorganized and slow,False,  This airport is horrible. TSA is unorganized and slow. Please do not underestimate this small airport please get there 2 hours early maybe 3 because TSA will slow you down. I’m not sure who is in charge of TSA but you need have better protocol. I almost missed my flight.,-1
2023-03-12,0.2,Business,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,an hour wait at a one baggage,False, Over an hour wait at a one baggage carousel to receive luggage absolutely unacceptable. This place is a joke for all the money that they invest into it. Strongly recommend avoiding this airport at all costs if you are able to.,-1
2021-11-20,0.2,Solo Leisure,3.0,4.0,3.0,2.0,2.0,2.0,5.0,1.0,airport layout is horrible,True, The airport layout is horrible. The elevators don’t match to all parking levels. Staff unable to give basic directions about location of airport services. Over 40mins wait for baggage. Gates not identified for arriving planes. Just exiting parking garage is confusing.,-1
2021-08-30,0.1,Family Leisure,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,The service is absolutely awful!,False,"  The service is absolutely awful! I cannot express how rude and inconsiderate these people are. If I had a choice I’d never use this airport again, unfortunately I don’t have a choice. Extremely disappointed.",-1
2021-06-23,0.2,Business,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,TSA painfully slow,False,  Waited 65 minutes thru security yesterday and was closed out of my 11.43 to Charlotte after finally getting to the gate at 11.40. Get there 2 hrs early these days. TSA painfully slow. No sense of urgency or willingness to help. Horrible. Cost my company thousands in missed meetings. Complete joke.,-1
2015-07-11,0.8,Business,4.0,3.0,3.0,,2.0,,3.0,,Syracuse Hancock Airport customer review,False,,1
2011-01-03,0.3,,,,,,,,,,Syracuse Hancock Airport customer review,False,,-1
