datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2019-03-18,0.4,Solo Leisure,3.0,2.0,1.0,3.0,2.0,2.0,,3.0,needs a remodel,False,"  
Security TSA check-in needs a remodel, non district missing information. A narrow hallway. Seating in boarding area poor. Seats torn, walls in need of ""TLC"". Entire area needs a new property manager, only nice open - clean area was the car rental area.",-1
2016-09-11,1.0,Solo Leisure,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,a fantastic stress free airport,False,,1
2008-06-25,0.5,,,,,,,,,,Daytona Beach Airport customer review,False,,-1
2008-05-30,0.5,,,,,,,,,,Daytona Beach Airport customer review,False,,-1
